RefSeq_id	Gene_name	Protein_id	Transcript_id	CCDS	HGNC_name_e107
219749	ZNF25	XP_005252443.1	PRJNA168;XM_005252386	-	ZNF25
7581	ZNF33A	NP_008885.1	NM_006954	CCDS44372.1	ZNF33A
7587	ZNF37A	NP_001171572.1	NM_001178101	CCDS31183.1	ZNF37A
7587	ZNF37A	NP_003412.1	NM_003421	CCDS31183.1	ZNF37A
7587	ZNF37A	NP_001007095.1	NM_001007094	CCDS31183.1	ZNF37A
7587	ZNF37A	XP_005252638.1	PRJNA168;XM_005252581	-	ZNF37A
7587	ZNF37A	XP_005252639.1	PRJNA168;XM_005252582	-	ZNF37A
7587	ZNF37A	XP_005252640.1	PRJNA168;XM_005252583	-	ZNF37A
7587	ZNF37A	XP_005252641.1	PRJNA168;XM_005252584	-	ZNF37A
7582	ZNF33B	NP_008886.1	NM_006955	CCDS7198.1	ZNF33B
9790	BMS1	NP_055568.3	NM_014753	CCDS7199.1	BMS1
9790	BMS1	XP_005271903.1	PRJNA168;XM_005271846	-	BMS1
5979	RET	NP_066124.1	NM_020975	CCDS7200.1	RET
55454	CSGALNACT2	NP_061060.3	NM_018590	CCDS7201.1	CSGALNACT2
221002	RASGEF1A	NP_660356.2	NM_145313	CCDS7202.2	RASGEF1A
221002	RASGEF1A	XP_005271865.1	PRJNA168;XM_005271808	-	RASGEF1A
53828	FXYD4	NP_775183.1	NM_173160	CCDS7203.1	FXYD4
3185	HNRNPF	NP_001091678.1	NM_001098208	CCDS7204.1	HNRNPF
3185	HNRNPF	NP_004957.1	NM_004966	CCDS7204.1	HNRNPF
3185	HNRNPF	NP_001091677.1	NM_001098207	CCDS7204.1	HNRNPF
3185	HNRNPF	NP_001091675.1	NM_001098205	CCDS7204.1	HNRNPF
3185	HNRNPF	NP_001091674.1	NM_001098204	CCDS7204.1	HNRNPF
3185	HNRNPF	NP_001091676.1	NM_001098206	CCDS7204.1	HNRNPF
3185	HNRNPF	XP_005271873.1	PRJNA168;XM_005271816	-	HNRNPF
3185	HNRNPF	XP_005271874.1	PRJNA168;XM_005271817	-	HNRNPF
3185	HNRNPF	XP_005271875.1	PRJNA168;XM_005271818	-	HNRNPF
8187	ZNF239	NP_005665.2	NM_005674	CCDS41502.1	ZNF239
8187	ZNF239	NP_001092752.1	NM_001099282	CCDS41502.1	ZNF239
8187	ZNF239	NP_001092753.1	NM_001099283	CCDS41502.1	ZNF239
8187	ZNF239	NP_001092754.1	NM_001099284	CCDS41502.1	ZNF239
8187	ZNF239	XP_005271885.1	PRJNA168;XM_005271828	-	ZNF239
8187	ZNF239	XP_005271886.1	PRJNA168;XM_005271829	-	ZNF239
8187	ZNF239	XP_005271887.1	PRJNA168;XM_005271830	-	ZNF239
8187	ZNF239	XP_005271888.1	PRJNA168;XM_005271831	-	ZNF239
8187	ZNF239	XP_005271889.1	PRJNA168;XM_005271832	-	ZNF239
220992	ZNF485	NP_660355.2	NM_145312	CCDS7205.2	ZNF485
7580	ZNF32	NP_008904.1	NM_006973	CCDS7206.1	ZNF32
7580	ZNF32	NP_001005368.1	NM_001005368	CCDS7206.1	ZNF32
6387	CXCL12	NP_954637.1	NM_199168	CCDS7207.1	CXCL12
643236	TMEM72	NP_001116848.1	NM_001123376	CCDS41504.1	TMEM72
83937	RASSF4	NP_114412.2	NM_032023	CCDS7208.1	RASSF4
11067	C10orf10	NP_008952.1	NM_007021	CCDS7210.1	DEPP1
7570	ZNF22	NP_008894.2	NM_006963	CCDS7211.1	ZNF22
79290	OR13A1	NP_001004297.2	NM_001004297	CCDS31188.1	OR13A1
240	ALOX5	NP_000689.1	NM_000698	CCDS7212.1	ALOX5
93550	ZFAND4	NP_777550.2	NM_174890	CCDS7214.1	ZFAND4
93550	ZFAND4	NP_001121796.1	NM_001128324	CCDS7214.1	ZFAND4
253725	FAM21C	XP_005271868.1	PRJNA168;XM_005271811	-	WASHC2C
119016	AGAP4	XP_005271856.1	PRJNA168;XM_005271799	-	AGAP4
119016	AGAP4	XP_005271857.1	PRJNA168;XM_005271800	-	AGAP4
653129	PTPN20A	NP_001035848.1	NM_001042389	CCDS31190.1	PTPN20
653129	PTPN20A	XP_005270375.1	PRJNA168;XM_005270318	-	PTPN20
83849	SYT15	NP_114118.2	NM_031912	CCDS44376.1	SYT15B
9721	GPRIN2	NP_055511.2	NM_014696	CCDS31192.1	GPRIN2
9721	GPRIN2	XP_005270388.1	PRJNA168;XM_005270331	-	GPRIN2
9721	GPRIN2	XP_005270389.1	PRJNA168;XM_005270332	-	GPRIN2
5540	NPY4R	NP_005963.4	NM_005972	CCDS31193.1	NPY4R
5540	NPY4R	NP_001265723.1	NM_001278794	-	NPY4R
728113	ANXA8L1	NP_001092315.2	NM_001098845	CCDS41511.1	ANXA8L1
100132929	FAM25B	NP_001131028.1	NM_001137556	CCDS44378.1	FAM25A
195977	ANTXRL	NP_001265617.1	NM_001278688	-	ANTXRL
642517	AGAP9	NP_001177739.1	NM_001190810	CCDS55710.1	AGAP9
100133093	FAM25G	NP_001131021.1	NM_001137549	CCDS44381.1	FAM25A
653145	ANXA8	NP_001035173.1	NM_001040084	CCDS31194.1	ANXA8
5949	RBP3	NP_002891.1	NM_002900	CCDS7218.1	RBP3
2658	GDF2	NP_057288.1	NM_016204	CCDS7219.1	GDF2
2662	GDF10	NP_004953.1	NM_004962	CCDS7220.1	GDF10
26095	PTPN20B	NP_001035816.1	NM_001042357	CCDS41514.1	PTPN20
26095	PTPN20B	XP_005270371.1	PRJNA168;XM_005270314	-	PTPN20
644054	FAM25C	NP_001131020.1	NM_001137548	CCDS44383.1	FAM25A
58504	ARHGAP22	NP_067049.2	NM_021226	CCDS7227.1	ARHGAP22
57705	WDFY4	NP_065996.1	NM_020945	CCDS44385.1	WDFY4
57705	WDFY4	XP_005270061.1	PRJNA168;XM_005270004	-	WDFY4
57705	WDFY4	XP_005270062.1	PRJNA168;XM_005270005	-	WDFY4
474354	LRRC18	NP_001006940.3	NM_001006939	CCDS31197.1	LRRC18
474354	LRRC18	XP_005269916.1	PRJNA168;XM_005269859	-	LRRC18
196740	VSTM4	NP_001026916.2	NM_001031746	CCDS31198.1	VSTM4
170370	FAM170B	NP_001157956.1	NM_001164484	CCDS53536.1	FAM170B
118461	C10orf71	NP_001128668.1	NM_001135196	CCDS44387.1	C10orf71
118461	C10orf71	XP_005269533.1	PRJNA168;XM_005269476	-	C10orf71
118461	C10orf71	XP_005269534.1	PRJNA168;XM_005269477	-	C10orf71
118461	C10orf71	XP_005269535.1	PRJNA168;XM_005269478	-	C10orf71
644168	DRGX	NP_001263380.1	NM_001276451	CCDS44388.1	DRGX
2074	ERCC6	NP_000115.1	NM_000124	CCDS7229.1	ERCC6
2074	ERCC6	XP_005269652.1	PRJNA168;XM_005269595	-	ERCC6
2074	ERCC6	XP_005269653.1	PRJNA168;XM_005269596	-	ERCC6
6572	SLC18A3	NP_003046.2	NM_003055	CCDS7231.1	SLC18A3
282966	C10orf53	NP_001035892.1	NM_001042427	CCDS41521.1	C10orf53
55753	OGDHL	NP_060715.2	NM_018245	CCDS7234.1	OGDHL
8505	PARG	NP_003622.2	NM_003631	-	PARG
4477	MSMB	NP_002434.1	NM_002443	CCDS7235.1	MSMB
8031	NCOA4	NP_001138734.1	NM_001145262	CCDS7237.1	NCOA4
8031	NCOA4	NP_001138735.1	NM_001145263	CCDS7237.1	NCOA4
8031	NCOA4	NP_005428.1	NM_005437	CCDS7237.1	NCOA4
100287932	TIMM23	NP_006318.1	NM_006327	CCDS7238.1	TIMM23
414189	AGAP6	NP_001071133.2	NM_001077665	CCDS44397.1	AGAP6
387680	FAM21A	NP_001005751.1	NM_001005751	CCDS41527.1	WASHC2A
56624	ASAH2	NP_063946.2	NM_019893	CCDS7239.2	ASAH2
259230	SGMS1	NP_671512.1	NM_147156	CCDS7240.1	SGMS1
259230	SGMS1	XP_005269732.1	PRJNA168;XM_005269675	-	SGMS1
653308	ASAH2B	XP_005270116.1	PRJNA168;XM_005270059	-	ASAH2B
653308	ASAH2B	XP_005270117.1	PRJNA168;XM_005270060	-	ASAH2B
23283	CSTF2T	NP_056050.1	NM_015235	CCDS7245.1	CSTF2T
22943	DKK1	NP_036374.1	NM_012242	CCDS7246.1	DKK1
4153	MBL2	NP_000233.1	NM_000242	CCDS7247.1	MBL2
4153	MBL2	XP_005269901.1	PRJNA168;XM_005269844	-	MBL2
11130	ZWINT	NP_127490.1	NM_032997	CCDS7249.1	ZWINT
11130	ZWINT	NP_008988.2	NM_007057	CCDS7249.1	ZWINT
11130	ZWINT	XP_005269520.1	PRJNA168;XM_005269463	-	ZWINT
253430	IPMK	NP_689416.1	NM_152230	CCDS7250.1	IPMK
55847	CISD1	NP_060934.1	NM_018464	CCDS7251.1	CISD1
7321	UBE2D1	NP_003329.1	NM_003338	CCDS7252.1	UBE2D1
7019	TFAM	NP_003192.1	NM_003201	CCDS7253.1	TFAM
80114	BICC1	NP_001073981.1	NM_001080512	CCDS31206.1	BICC1
84457	PHYHIPL	NP_115815.2	NM_032439	CCDS7254.1	PHYHIPL
220965	FAM13C	NP_937858.2	NM_198215	CCDS7255.1	FAM13C
220963	SLC16A9	NP_919274.1	NM_194298	CCDS7256.1	SLC16A9
8030	CCDC6	NP_005427.2	NM_005436	CCDS7257.1	CCDC6
983	CDK1	NP_001777.1	NM_001786	CCDS44408.1	CDK1
983	CDK1	XP_005270360.1	PRJNA168;XM_005270303	-	CDK1
9886	RHOBTB1	NP_055651.1	NM_014836	CCDS7261.1	RHOBTB1
9886	RHOBTB1	NP_001229288.1	NM_001242359	CCDS7261.1	RHOBTB1
219623	TMEM26	NP_848600.2	NM_178505	CCDS41530.1	TMEM26
84159	ARID5B	NP_115575.1	NM_032199	CCDS31208.1	ARID5B
219790	RTKN2	NP_660350.2	NM_145307	CCDS7263.1	RTKN2
22891	ZNF365	NP_055766.2	NM_014951	CCDS31209.1	ZNF365
84890	ADO	NP_116193.2	NM_032804	CCDS7266.2	ADO
29982	NRBF2	NP_110386.2	NM_030759	CCDS7268.1	NRBF2
221035	REEP3	NP_001001330.1	NM_001001330	CCDS44411.1	REEP3
29119	CTNNA3	NP_037398.2	NM_013266	CCDS7269.1	CTNNA3
29119	CTNNA3	NP_001120856.1	NM_001127384	CCDS7269.1	CTNNA3
347731	LRRTM3	NP_821079.3	NM_178011	CCDS7270.1	LRRTM3
56521	DNAJC12	NP_068572.1	NM_021800	CCDS7271.1	DNAJC12
23411	SIRT1	NP_036370.2	NM_012238	CCDS7273.1	SIRT1
84665	MYPN	NP_115967.2	NM_032578	CCDS7275.1	MYPN
84665	MYPN	NP_001243196.1	NM_001256267	CCDS7275.1	MYPN
220202	ATOH7	NP_660161.1	NM_145178	CCDS7276.1	ATOH7
64081	PBLD	NP_071412.2	NM_022129	CCDS7277.2	PBLD
64081	PBLD	XP_005270085.1	PRJNA168;XM_005270028	-	PBLD
3189	HNRNPH3	NP_036339.1	NM_012207	CCDS7278.1	HNRNPH3
3189	HNRNPH3	XP_005269805.1	PRJNA168;XM_005269748	-	HNRNPH3
55680	RUFY2	XP_005270011.1	PRJNA168;XM_005269954	-	RUFY2
1763	DNA2	NP_001073918.2	NM_001080449	CCDS44415.1	DNA2
8034	SLC25A16	NP_689920.1	NM_152707	CCDS7280.1	SLC25A16
80312	TET1	NP_085128.2	NM_030625	CCDS7281.1	TET1
55749	CCAR1	NP_060707.2	NM_018237	CCDS7282.1	CCAR1
55749	CCAR1	XP_005270023.1	PRJNA168;XM_005269966	-	CCAR1
55749	CCAR1	XP_005270024.1	PRJNA168;XM_005269967	-	CCAR1
219736	STOX1	NP_689922.3	NM_152709	CCDS41535.1	STOX1
219736	STOX1	NP_001123633.1	NM_001130161	CCDS41535.1	STOX1
79009	DDX50	NP_076950.1	NM_024045	CCDS7283.1	DDX50
9188	DDX21	NP_004719.2	NM_004728	CCDS31211.1	DDX21
26128	KIAA1279	NP_056449.1	NM_015634	CCDS7284.1	KIFBP
5552	SRGN	NP_002718.2	NM_002727	CCDS7285.1	SRGN
9559	VPS26A	NP_004887.2	NM_004896	CCDS7286.1	VPS26A
6832	SUPV3L1	NP_003162.2	NM_003171	CCDS7287.1	SUPV3L1
3098	HK1	NP_000179.2	NM_000188	CCDS7292.1	HK1
6865	TACR2	NP_001048.2	NM_001057	CCDS7293.1	TACR2
23555	TSPAN15	NP_036471.1	NM_012339	CCDS7294.1	TSPAN15
50674	NEUROG3	NP_066279.2	NM_020999	CCDS31212.1	NEUROG3
219738	C10orf35	NP_660349.1	NM_145306	CCDS7295.1	FAM241B
219738	C10orf35	XP_005269664.1	PRJNA168;XM_005269607	-	FAM241B
219738	C10orf35	XP_005269665.1	PRJNA168;XM_005269608	-	FAM241B
55506	H2AFY2	NP_061119.1	NM_018649	CCDS7296.1	MACROH2A2
84883	AIFM2	NP_001185625.1	NM_001198696	CCDS7297.1	AIFM2
84883	AIFM2	NP_116186.1	NM_032797	CCDS7297.1	AIFM2
84883	AIFM2	XP_005270303.1	PRJNA168;XM_005270246	-	AIFM2
84883	AIFM2	XP_005270304.1	PRJNA168;XM_005270247	-	AIFM2
84883	AIFM2	XP_005270305.1	PRJNA168;XM_005270248	-	AIFM2
84883	AIFM2	XP_005270306.1	PRJNA168;XM_005270249	-	AIFM2
84883	AIFM2	XP_005270307.1	PRJNA168;XM_005270250	-	AIFM2
219743	TYSND1	NP_775826.2	NM_173555	CCDS31213.1	TYSND1
56681	SAR1A	NP_064535.1	NM_020150	CCDS7298.1	SAR1A
56681	SAR1A	NP_001136120.1	NM_001142648	CCDS7298.1	SAR1A
56681	SAR1A	XP_005270041.1	PRJNA168;XM_005269984	-	SAR1A
5464	PPA1	NP_066952.1	NM_021129	CCDS7299.1	PPA1
64106	NPFFR1	NP_071429.1	NM_022146	CCDS53539.1	NPFFR1
55222	LRRC20	NP_997002.1	NM_207119	CCDS7302.1	LRRC20
55222	LRRC20	NP_001265140.1	NM_001278211	-	LRRC20
55222	LRRC20	NP_001265141.1	NM_001278212	-	LRRC20
1979	EIF4EBP2	NP_004087.1	NM_004096	CCDS7303.1	EIF4EBP2
4838	NODAL	NP_060525.3	NM_018055	CCDS7304.1	NODAL
27143	PALD1	NP_055246.2	NM_014431	CCDS31215.1	PALD1
5551	PRF1	NP_005032.2	NM_005041	CCDS7305.1	PRF1
5551	PRF1	NP_001076585.1	NM_001083116	CCDS7305.1	PRF1
8879	SGPL1	NP_003892.2	NM_003901	CCDS31216.1	SGPL1
8879	SGPL1	XP_005270320.1	PRJNA168;XM_005270263	-	SGPL1
5092	PCBD1	NP_000272.1	NM_000281	CCDS31217.1	PCBD1
219699	UNC5B	NP_734465.2	NM_170744	CCDS7309.1	UNC5B
55315	SLC29A3	NP_060814.4	NM_018344	CCDS7310.1	SLC29A3
64072	CDH23	NP_071407.4	NM_022124	-	CDH23
414152	C10orf105	NP_001157847.1	NM_001164375	CCDS44430.1	C10orf105
414152	C10orf105	NP_001161862.1	NM_001168390	CCDS44430.1	C10orf105
64115	C10orf54	NP_071436.1	NM_022153	CCDS31218.1	VSIR
5660	PSAP	NP_002769.1	NM_002778	CCDS7311.1	PSAP
9469	CHST3	NP_004264.2	NM_004273	CCDS7312.1	CHST3
9806	SPOCK2	NP_055582.1	NM_014767	CCDS7313.1	SPOCK2
9806	SPOCK2	NP_001231879.1	NM_001244950	CCDS7313.1	SPOCK2
51008	ASCC1	NP_001185727.1	NM_001198798	CCDS31219.1	ASCC1
51008	ASCC1	NP_001185729.1	NM_001198800	CCDS31219.1	ASCC1
119504	ANAPC16	NP_001229475.1	NM_001242546	CCDS7314.1	ANAPC16
119504	ANAPC16	NP_775744.1	NM_173473	CCDS7314.1	ANAPC16
119504	ANAPC16	NP_001229476.1	NM_001242547	CCDS7314.1	ANAPC16
54541	DDIT4	NP_061931.1	NM_019058	CCDS7315.1	DDIT4
10367	MICU1	NP_001182447.1	NM_001195518	CCDS55715.1	MICU1
90550	MCU	NP_612366.1	NM_138357	CCDS7317.1	MCU
170392	OIT3	NP_689848.1	NM_152635	CCDS7318.1	OIT3
84647	PLA2G12B	NP_115951.2	NM_032562	CCDS7319.1	PLA2G12B
25961	NUDT13	NP_056985.3	NM_015901	CCDS31220.1	NUDT13
11319	ECD	NP_009196.1	NM_007265	CCDS7321.1	ECD
317662	FAM149B1	NP_775483.1	NM_173348	CCDS44435.1	FAM149B1
23234	DNAJC9	NP_056005.1	NM_015190	CCDS7322.1	DNAJC9
51021	MRPS16	NP_057149.1	NM_016065	CCDS7323.1	MRPS16
118491	TTC18	XP_005269539.1	PRJNA168;XM_005269482	-	CFAP70
118490	MSS51	NP_001019764.1	NM_001024593	CCDS31221.1	MSS51
5532	PPP3CB	NP_066955.1	NM_021132	CCDS7328.1	PPP3CB
159195	USP54	NP_689799.3	NM_152586	CCDS7329.2	USP54
58529	MYOZ1	NP_067068.1	NM_021245	CCDS7330.1	MYOZ1
79933	SYNPO2L	NP_001107605.1	NM_001114133	CCDS44438.1	SYNPO2L
729092	AGAP5	NP_001137472.1	NM_001144000	CCDS44439.1	AGAP5
9632	SEC24C	NP_004913.2	NM_004922	CCDS7332.1	SEC24C
9632	SEC24C	NP_940999.1	NM_198597	CCDS7332.1	SEC24C
170384	FUT11	NP_775811.2	NM_173540	CCDS7333.1	FUT11
118487	CHCHD1	NP_976043.1	NM_203298	CCDS7334.1	CHCHD1
8509	NDST2	NP_003626.1	NM_003635	CCDS7335.1	NDST2
7414	VCL	NP_054706.1	NM_014000	CCDS7341.1	VCL
26985	AP3M1	NP_996895.1	NM_207012	CCDS7342.1	AP3M1
26985	AP3M1	NP_036227.1	NM_012095	CCDS7342.1	AP3M1
132	ADK	NP_006712.2	NM_006721	CCDS7343.1	ADK
23522	KAT6B	NP_036462.2	NM_012330	CCDS7345.1	KAT6B
23522	KAT6B	XP_005269721.1	PRJNA168;XM_005269664	-	KAT6B
338599	DUPD1	NP_001003892.1	NM_001003892	CCDS31223.1	DUSP29
338599	DUPD1	XP_005269819.1	PRJNA168;XM_005269762	-	DUSP29
338599	DUPD1	XP_005269820.1	PRJNA168;XM_005269763	-	DUSP29
142891	SAMD8	NP_001167627.1	NM_001174156	CCDS53543.1	SAMD8
142891	SAMD8	XP_005269598.1	PRJNA168;XM_005269541	-	SAMD8
7417	VDAC2	NP_003366.2	NM_003375	CCDS7348.1	VDAC2
7417	VDAC2	NP_001171752.1	NM_001184823	CCDS7348.1	VDAC2
118881	COMTD1	NP_653190.2	NM_144589	CCDS7349.1	COMTD1
84858	ZNF503	NP_116161.2	NM_032772	CCDS7350.1	ZNF503
83938	C10orf11	XP_005270269.1	PRJNA168;XM_005270212	-	LRMDA
9231	DLG5	NP_004738.3	NM_004747	CCDS7353.2	DLG5
11128	POLR3A	NP_008986.2	NM_007055	CCDS7354.1	POLR3A
6229	RPS24	NP_148982.1	NM_033022	CCDS7356.1	RPS24
57178	ZMIZ1	NP_065071.1	NM_020338	CCDS7357.1	ZMIZ1
10105	PPIF	NP_005720.1	NM_005729	CCDS7358.1	PPIF
219654	ZCCHC24	NP_699198.2	NM_153367	CCDS7359.1	ZCCHC24
143244	EIF5AL1	NP_001093162.1	NM_001099692	CCDS53546.1	EIF5AL1
729238	SFTPA2	NP_001092138.1	NM_001098668	CCDS41540.1	SFTPA2
729238	SFTPA2	XP_005270187.1	PRJNA168;XM_005270130	-	SFTPA2
729238	SFTPA2	XP_005270188.1	PRJNA168;XM_005270131	-	SFTPA2
729238	SFTPA2	XP_005270189.1	PRJNA168;XM_005270132	-	SFTPA2
653509	SFTPA1	NP_001158116.1	NM_001164644	CCDS44445.1	SFTPA1
653509	SFTPA1	NP_005402.3	NM_005411	CCDS44445.1	SFTPA1
653509	SFTPA1	NP_001158119.1	NM_001164647	CCDS44445.1	SFTPA1
653509	SFTPA1	XP_005270119.1	PRJNA168;XM_005270062	-	SFTPA1
729262	NUTM2B	NP_001265424.1	NM_001278495	-	NUTM2B
729262	NUTM2B	XP_005270192.1	PRJNA168;XM_005270135	-	NUTM2B
6441	SFTPD	NP_003010.4	NM_003019	CCDS7362.1	SFTPD
80195	TMEM254	NP_079401.2	NM_025125	CCDS7363.1	TMEM254
219348	PLAC9	NP_001012991.1	NM_001012973	CCDS31232.1	PLAC9
311	ANXA11	NP_001148.1	NM_001157	CCDS7364.1	ANXA11
311	ANXA11	NP_665875.1	NM_145868	CCDS7364.1	ANXA11
311	ANXA11	NP_665876.1	NM_145869	CCDS7364.1	ANXA11
311	ANXA11	NP_001265336.1	NM_001278407	-	ANXA11
311	ANXA11	NP_001265337.1	NM_001278408	-	ANXA11
4143	MAT1A	NP_000420.1	NM_000429	CCDS7365.1	MAT1A
4143	MAT1A	XP_005269899.1	PRJNA168;XM_005269842	-	MAT1A
143241	DYDC1	NP_620167.1	NM_138812	CCDS7366.1	DYDC1
143241	DYDC1	NP_001255982.1	NM_001269053	CCDS7366.1	DYDC1
143241	DYDC1	XP_005269609.1	PRJNA168;XM_005269552	-	DYDC1
84332	DYDC2	NP_115748.1	NM_032372	CCDS7367.1	DYDC2
84332	DYDC2	NP_001256970.1	NM_001270041	CCDS7367.1	DYDC2
84293	FAM213A	NP_115709.3	NM_032333	CCDS7368.1	PRXL2A
84293	FAM213A	NP_001230707.1	NM_001243778	CCDS7368.1	PRXL2A
84293	FAM213A	NP_001230708.1	NM_001243779	CCDS7368.1	PRXL2A
84293	FAM213A	NP_001230709.1	NM_001243780	CCDS7368.1	PRXL2A
81619	TSPAN14	NP_112189.2	NM_030927	CCDS7369.1	TSPAN14
81619	TSPAN14	XP_005270249.1	PRJNA168;XM_005270192	-	TSPAN14
10718	NRG3	NP_001010848.2	NM_001010848	CCDS31233.1	NRG3
27069	GHITM	NP_055209.2	NM_014394	CCDS41542.1	GHITM
27069	GHITM	XP_005269757.1	PRJNA168;XM_005269700	-	GHITM
387695	C10orf99	NP_997256.1	NM_207373	CCDS7371.1	C10orf99
92211	CDHR1	NP_149091.1	NM_033100	CCDS7372.1	CDHR1
340745	LRIT2	NP_001017924.1	NM_001017924	CCDS31234.1	LRIT2
26103	LRIT1	NP_056428.1	NM_015613	CCDS7373.1	LRIT1
54462	CCSER2	XP_005269961.1	PRJNA168;XM_005269904	-	CCSER2
2894	GRID1	NP_060021.1	NM_017551	CCDS31236.1	GRID1
23063	WAPAL	NP_055860.1	NM_015045	CCDS7375.1	WAPL
94233	OPN4	NP_150598.1	NM_033282	CCDS7376.1	OPN4
657	BMPR1A	NP_004320.2	NM_004329	CCDS7378.1	BMPR1A
657	BMPR1A	XP_005270121.1	PRJNA168;XM_005270064	-	BMPR1A
79812	MMRN2	NP_079032.2	NM_024756	CCDS7379.1	MMRN2
6623	SNCG	NP_003078.2	NM_003087	CCDS7380.1	SNCG
10974	ADIRF	NP_006820.1	NM_006829	CCDS7381.1	ADIRF
643161	FAM25A	NP_001139629.1	NM_001146157	CCDS44451.1	FAM25A
2746	GLUD1	NP_005262.1	NM_005271	CCDS7382.1	GLUD1
54537	FAM35A	XP_005269975.1	PRJNA168;XM_005269918	-	SHLD2
54537	FAM35A	XP_005269976.1	PRJNA168;XM_005269919	-	SHLD2
728118	NUTM2A	NP_001092808.1	NM_001099338	CCDS44452.1	NUTM2A
9562	MINPP1	NP_004888.2	NM_004897	CCDS7384.1	MINPP1
84896	ATAD1	NP_116199.2	NM_032810	CCDS7386.1	ATAD1
84896	ATAD1	XP_005270308.1	PRJNA168;XM_005270251	-	ATAD1
84896	ATAD1	XP_005270309.1	PRJNA168;XM_005270252	-	ATAD1
100144748	KLLN	NP_001119521.1	NM_001126049	CCDS44454.1	KLLN
5728	PTEN	NP_000305.3	NM_000314	CCDS31238.1	PTEN
55328	RNLS	NP_001026879.2	NM_001031709	CCDS31239.1	RNLS
142910	LIPJ	NP_001010939.2	NM_001010939	CCDS31240.1	LIPJ
8513	LIPF	NP_004181.1	NM_004190	CCDS7389.1	LIPF
643414	LIPK	NP_001073987.1	NM_001080518	CCDS44455.1	LIPK
643418	LIPN	NP_001095939.1	NM_001102469	CCDS44456.1	LIPN
643418	LIPN	XP_005270106.1	PRJNA168;XM_005270049	-	LIPN
340654	LIPM	NP_001121687.1	NM_001128215	CCDS44457.1	LIPM
118932	ANKRD22	NP_653191.2	NM_144590	CCDS7390.1	ANKRD22
57559	STAMBPL1	NP_065850.1	NM_020799	CCDS7391.1	STAMBPL1
59	ACTA2	NP_001135417.1	NM_001141945	CCDS7392.1	ACTA2
59	ACTA2	NP_001604.1	NM_001613	CCDS7392.1	ACTA2
355	FAS	NP_000034.1	NM_000043	CCDS7393.1	FAS
9023	CH25H	NP_003947.1	NM_003956	CCDS7400.1	CH25H
3988	LIPA	NP_001121077.1	NM_001127605	CCDS7401.1	LIPA
3988	LIPA	NP_000226.2	NM_000235	CCDS7401.1	LIPA
3433	IFIT2	NP_001538.4	NM_001547	CCDS41548.1	IFIT2
3437	IFIT3	NP_001540.2	NM_001549	CCDS7402.1	IFIT3
3437	IFIT3	NP_001026853.1	NM_001031683	CCDS31241.1	IFIT3
439996	IFIT1B	NP_001010987.1	NM_001010987	CCDS31242.1	IFIT1B
3434	IFIT1	NP_001539.3	NM_001548	CCDS31243.1	IFIT1
24138	IFIT5	NP_036552.1	NM_012420	CCDS7403.1	IFIT5
387700	SLC16A12	NP_998771.3	NM_213606	CCDS7404.2	SLC16A12
387700	SLC16A12	XP_005269869.1	PRJNA168;XM_005269812	-	SLC16A12
387700	SLC16A12	XP_005269870.1	PRJNA168;XM_005269813	-	SLC16A12
10556	RPP30	NP_006404.1	NM_006413	CCDS7411.1	RPP30
27063	ANKRD1	NP_055206.2	NM_014391	CCDS7412.1	ANKRD1
84333	PCGF5	NP_001243478.1	NM_001256549	CCDS7413.1	PCGF5
84333	PCGF5	NP_115749.2	NM_032373	CCDS7413.1	PCGF5
84333	PCGF5	NP_001244030.1	NM_001257101	CCDS7413.1	PCGF5
143279	HECTD2	NP_877497.2	NM_182765	CCDS7414.1	HECTD2
5507	PPP1R3C	NP_005389.1	NM_005398	CCDS7416.1	PPP1R3C
80351	TNKS2	NP_079511.1	NM_025235	CCDS7417.1	TNKS2
143282	FGFBP3	NP_689642.3	NM_152429	CCDS7418.1	FGFBP3
9044	BTAF1	NP_003963.1	NM_003972	CCDS7419.1	BTAF1
54708	MARCH5	NP_060294.1	NM_017824	CCDS7420.1	MARCHF5
3416	IDE	NP_004960.2	NM_004969	CCDS7421.1	IDE
3832	KIF11	NP_004514.2	NM_004523	CCDS7422.1	KIF11
3087	HHEX	NP_002720.1	NM_002729	CCDS7423.1	HHEX
54536	EXOC6	NP_061926.3	NM_019053	CCDS7424.2	EXOC6
340665	CYP26C1	NP_899230.2	NM_183374	CCDS7425.1	CYP26C1
1592	CYP26A1	NP_000774.2	NM_000783	CCDS7426.1	CYP26A1
26509	MYOF	NP_038479.1	NM_013451	CCDS41551.1	MYOF
338557	FFAR4	NP_001182684.1	NM_001195755	CCDS55720.1	FFAR4
5950	RBP4	NP_006735.2	NM_006744	CCDS31249.1	RBP4
5146	PDE6C	NP_006195.3	NM_006204	CCDS7429.1	PDE6C
118924	FRA10AC1	NP_660289.2	NM_145246	CCDS7430.1	FRA10AC1
118924	FRA10AC1	XP_005269572.1	PRJNA168;XM_005269515	-	FRA10AC1
118924	FRA10AC1	XP_005269573.1	PRJNA168;XM_005269516	-	FRA10AC1
9211	LGI1	NP_005088.1	NM_005097	CCDS7431.1	LGI1
159371	SLC35G1	NP_001128130.1	NM_001134658	CCDS44459.1	SLC35G1
51196	PLCE1	NP_057425.3	NM_016341	CCDS41552.1	PLCE1
51196	PLCE1	XP_005269937.1	PRJNA168;XM_005269880	-	PLCE1
